state_state,commercial_sex_acts_offenses,commercial_sex_acts_total_cleared,commercial_sex_acts_clearances_under_18,involuntary_servitude_offenses,involuntary_servitude_total_cleared,involuntary_servitude_clearances_under_18,total_offenses,total_total_cleared,total_clearances_under_18
Alaska,11,8,0,1,0,false,12,8,0
Arizona,19,5,0,0,0,false,19,5,0
Arkansas,4,4,0,2,0,false,6,4,0
Colorado,12,3,0,22,9,false,34,12,0
Connecticut,1,0,0,1,0,false,2,0,0
Delaware,0,0,0,0,0,false,0,0,0
Florida,98,50,0,7,4,false,105,54,0
Hawaii,2,0,0,0,0,false,2,0,0
Illinois,21,0,0,3,0,false,24,0,0
Indiana,4,2,2,0,0,false,4,2,2
Kansas,0,0,0,2,1,false,2,1,0
Louisiana,121,92,2,2,2,false,123,94,2
Maryland,17,15,0,0,0,false,17,15,0
Massachusetts,0,0,0,3,3,false,3,3,0
Michigan,1,1,0,2,0,false,3,1,0
Minnesota,235,191,1,0,0,false,235,191,1
Mississippi,0,0,0,0,0,false,0,0,0
Missouri,16,15,3,0,0,false,16,15,3
Montana,1,0,0,0,0,false,1,0,0
Nevada,140,58,35,0,0,false,140,58,35
North Dakota,4,0,0,1,1,false,5,1,0
Ohio,1,0,0,0,0,false,1,0,0
Oklahoma,42,37,1,4,3,false,46,40,1
Oregon,0,0,0,0,0,false,0,0,0
Puerto Rico,0,0,0,0,0,false,0,0,0
Rhode Island,5,2,0,1,0,false,6,2,0
South Carolina,15,9,2,7,7,false,22,16,2
South Dakota,0,0,0,0,0,false,0,0,0
Tennessee,55,26,0,0,0,false,55,26,0
Texas,130,51,2,127,27,false,257,78,2
U.S. Virgin Islands,0,0,0,0,0,false,0,0,0
Utah,0,0,0,0,0,false,0,0,0
Vermont,2,2,0,0,0,false,2,2,0
Washington,13,3,0,1,1,false,14,4,0
Wisconsin,34,19,1,1,0,false,35,19,1
Wyoming,3,2,0,2,1,false,5,3,0
